#ip_address latitude longitude
202.202.43.198 29.5628 106.5528
188.44.50.106 55.7522 37.6156
210.32.181.184 30.2936 120.1614
139.78.141.245 36.0937 -96.9875
195.116.53.11 52.2333 21.0167
138.238.250.157 38.8933 -77.0146
198.83.85.47 35.0443 -106.6729
153.90.1.34 45.628 -110.9013
153.90.1.35 45.628 -110.9013
135.109.221.104 41.7859 -88.1473
128.143.6.134 38.0329 -78.5137
192.91.235.230 41.8267 -71.3977
129.74.74.19 41.7007 -86.2501
128.111.52.63 34.4329 -119.8371
128.114.63.64 36.9899 -122.0603
128.252.19.18 38.6657 -90.3231
143.107.111.235 -23.5475 -46.6361
203.135.63.185 31.4888 74.3686
131.247.2.246 28.0631 -82.4128
129.22.150.29 41.5074 -81.6053
130.194.252.8 -34.2333 140.5667
128.220.231.4 39.3288 -76.5967
128.220.231.5 39.3288 -76.5967
204.85.191.10 35.994 -78.8986
200.0.206.136 -34.8581 -56.1708
138.251.214.78 51.5 -0.13
137.189.98.208 22.2833 114.15
157.92.44.104 -34.6033 -58.3816
137.99.11.86 41.808 -72.251
128.111.52.64 34.4329 -119.8371
129.107.35.132 32.7714 -97.2915
